################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-12-27 - Liberacion De Rahab Marcial Tapia & Alex Perez - Alex Perez, Marcial Tapia.txt
Video ID: d-8HncQND3Q
Segments: 1599
URL: https://www.youtube.com/watch?v=d-8HncQND3Q
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] a
[0:02] [Música]
[0:17] y
[0:17] [Música]
[2:01] ah
[2:06] a
[2:11] ah
[2:13] y
[2:17] ah
[2:19] y
[2:28] [Música]
[2:44] ah
[2:51] [Música]
[3:02] a
[3:05] [Música]
[4:15] i
[4:18] [Música]
[4:56] [Música]
[6:51] 2
[6:55] [Música]
[8:21] y
[8:29] y
[8:33] y
[8:35] [Música]
[8:51] [Música]
[9:40] ah
[9:46] [Música]
[10:02] i
[10:05] no
[10:10] [Música]
[10:32] no
[10:36] [Música]
[11:02] a
[11:19] i
[11:22] [Música]
[11:25] y
[11:33] [Música]
[11:44] [Música]
[11:56] [Música]
[12:10] más
[12:15] bueno
[12:17] 2
[12:17] [Música]
[12:23] ah
[12:24] [Música]
[12:38] a
[12:40] [Música]
[13:16] no no no
[13:30] [Música]
[15:06] a
[15:10] 1
[15:16] [Música]
[15:26] ah
[15:30] [Música]
[15:51] [Música]
[16:02] ah
[16:05] ah
[16:06] [Música]
[16:09] hola
[16:10] [Música]
[16:15] ah
[16:17] hoy
[16:21] [Música]
[16:26] y
[16:28] [Música]
[16:32] ah
[16:37] [Música]
[16:51] y
[16:54] i
[16:55] [Música]
[16:57] ah
[16:59] [Música]
[17:04] hola
[17:05] [Música]
[17:09] y
[17:12] i
[17:14] [Música]
[17:41] i
[17:42] [Música]
[17:45] ah
[17:47] [Música]
[17:51] ah
[17:54] a
[17:57] [Música]
[18:03] hola
[18:05] ah
[18:23] y
[18:27] [Música]
[18:47] ah
[18:48] [Música]
[19:09] [Música]
[19:23] 2
[19:27] [Música]
[19:39] más
[19:42] ah
[19:44] a
[19:46] [Música]
[19:48] ah
[19:50] [Música]
[19:59] d
[20:05] [Música]
[20:27] i
[20:32] [Música]
[20:59] ah
[21:00] i
[21:06] ah
[21:10] [Música]
[21:26] e
[21:29] [Música]
[21:36] i
[21:39] i
[21:44] [Música]
[21:51] hoy
[21:57] y
[22:00] [Música]
[22:19] [Música]
[22:29] e
[22:37] aquí
[22:44] y
[22:47] i
[23:10] y
[23:13] y
[23:16] y
[23:19] ah
[23:21] y
[23:24] ah
[23:28] ah
[23:34] ah
[23:42] ah
[23:44] i
[23:47] [Aplausos]
[23:53] i
[23:56] ah
[23:56] [Música]
[24:06] [Aplausos]
[24:13] [Aplausos]
[24:22] ah
[24:27] [Aplausos]
[24:27] [Música]
[24:31] ah
[24:33] [Música]
[24:50] [Aplausos]
[24:52] y
[24:54] [Música]
[24:57] no
[25:00] [Música]
[25:14] a
[25:23] e
[25:31] [Música]
[25:46] [Música]
[25:51] yo les bendiga hermanos les saludamos en
[25:54] el nombre de nuestro señor jesucristo en
[25:56] esta mañana
[25:58] pónganse de pie por favor y triste el
[26:01] gozo que siento yo el mundo no no lo vio
[26:06] el mundo no no lo dio y como no nos los
[26:09] dio no no lo puede
[26:11] me ayuda cantado en esta mañana llevaré
[26:14] conmigo el gozo
[26:16] el gozo que siento yo
[26:19] el mundo no no los dio
[26:21] el mundo no
[26:24] bendito sea nuestro señor hermano
[26:29] y empezamos a cantar
[26:33] del lugar tiempo y así empezamos ahora
[26:38] hablaremos nuevas lenguas el jazz sólo y
[26:44] luego cayó del podio oro por sueños y el
[26:49] sol se paró el sur y luego cayó
[26:57] orozco suite una vez más cartel o
[27:00] conmigo dígale el gozo el gozo que
[27:04] siento yo el mundo no no nos dio el
[27:08] mundo no no lo dudó y como no no los dio
[27:11] no no no puede quedar como no no lo vio
[27:17] y el gozo que siento yo el mundo no me
[27:21] lo dio
[27:22] el mundo no me lo dio y como no me lo
[27:25] dio no me lo pueden dar como no me lo
[27:28] dio no me lo pueden quitar
[27:30] si empezamos a cantar
[27:33] en este lugar temblar siempre estamos
[27:37] ahora hablaremos nuevas lenguas
[27:44] y luego cayó
[27:48] posee
[27:50] el sol se paró peleas y fuego cayó
[27:58] por otro si pienso el tema no manda el
[28:04] fuego señor manuel es el vuelo que tú
[28:10] sabes
[28:13] este juego te viene
[28:17] en el cielo señor no lo dejaré conmigo
[28:21] fuego fuego fuego fuego fuego es lo que
[28:28] quiero
[28:30] dame dame dame los señores todas las
[28:36] promesas
[28:38] las quiero
[28:41] luego del consolador vuelo
[28:48] fuego
[28:50] quiero una mi camino
[28:54] dámelo señor dame de ese fuego que viene
[29:00] del cielo señor yo lo quiero darte en mi
[29:05] corazón ya la mesa le está estado los
[29:11] santos comerán cristo invita a que tenga
[29:15] una cena
[29:18] terminales saciará de bienestar para que
[29:23] te alegres dulces como jesús es dígale
[29:27] conmigo vengan todos dicen cristo a
[29:31] cenar a la mesa puede siempre me deja
[29:39] a la muerte tu mundo el agua transformar
[29:43] iniciarlos también convenga a sus
[29:47] discípulos no sus discípulos allá fueron
[29:52] a desembarcar cuando el maestro conmigo
[29:56] hace nada
[29:59] en el fogón jesús hago para mí peces ya
[30:03] listo como es su deseo
[30:06] lleno no vengan todo dice cristo a cenar
[30:14] es la mesa puede siempre investigar
[30:20] porque tú todo el agua es transformar
[30:24] cristian los hambrientos vengan a cenar
[30:28] o el cordero el cordero ha de llevar su
[30:32] estupor salvo soñar a su lado en el
[30:36] cielo amor jamás
[30:39] como glorioso padecer tantos miles
[30:44] juntos ver más con jesús ira social es
[30:48] lo mejor y me encantó nos dice cristo
[30:53] hace nada
[30:55] me siento con esta meta
[31:02] mi abuela
[31:06] o
[31:09] m
[31:11] porque no le da una plaza al espíritu
[31:13] santo hermano
[31:17] dice con jesús irán por siempre a gozar
[31:22] yo no sé pero yo ya estoy empezando a
[31:25] gozar con él desde ahorita no hay que
[31:28] esperar que vale milenio
[31:31] ahora hay que empezar a gozar con él no
[31:35] es fácil y si es pero con él nos hace
[31:39] más ligera la carga hermano está
[31:41] contento de amar en esta mañana
[31:45] él es tan bueno y tan hermoso hermanos
[31:47] que hizo y yo creo que el esfuerzo que
[31:50] estamos aquí verdad porque armamos
[31:52] vamos a recibir los predicadores de esta
[31:55] mañana que me virgen pickering estos
[31:57] predicadores verdad tenemos un
[31:59] privilegio grande porque dios es tan
[32:02] bueno sin duda hasta dos predicadores
[32:05] la palabra poderosa kantar media en el
[32:09] calvario me ayuda a cantar hermano esta
[32:12] mañana
[32:12] [Música]
[32:16] escultor en ayuno
[32:20] una cruz
[32:23] con jesús hay crucificado
[32:30] la gente
[32:33] al pasar no vio nada
[32:37] especial en aquella obra de
[32:43] al barrio
[32:47] pero un hombre el cual los pies de
[32:50] aquella cruz
[32:56] desde allí miro a eso
[33:00] pero sus lágrimas no las pudo contener
[33:08] porque esa era la forma de mirarnos
[33:16] señor quiero mi día en el calvario
[33:24] a morir ahí
[33:26] a esta vida de mi casa
[33:31] como levantarme hasta que pueda yo
[33:36] sí
[33:40] ya no vivo yo más cristo vive en mí
[33:45] dígale conmigo señor señor quiero mi
[33:50] vida en el calvario
[33:54] a morir ahí a esta vida de pecado
[34:03] no levantarme hasta que pueda ayudes
[34:11] ya no vivo yo más cristo vive en mí el
[34:16] más grande evento el más grande evento
[34:22] como a la humanidad y es lo fue aquel 10
[34:28] aquel día en el calvario porque el mismo
[34:33] dios porque el me
[34:36] mismo dios fue quien encendió uaw y al
[34:42] morir pagó el precio de mi pecado y es
[34:48] por que no había nadie
[34:52] en su lugar
[34:56] yo he desechado de la gloria celestial
[35:04] un camino proveyó
[35:09] y por su sangre abrazo de madre
[35:14] dígale señor señor quiero vivir en el
[35:20] calvario
[35:23] morir ahí
[35:26] a estabilidade
[35:28] 2
[35:30] como levantarme hasta que pueda yo decir
[35:38] ya no vivo yo más cristo
[35:45] sí sí
[35:49] el calvario
[35:52] y de allí a esta vida te dejamos
[35:59] todos
[36:00] levantarme hasta que pueda llover
[36:08] ya no vivo yo más cristo vivo
[36:12] y
[36:15] [Música]
[36:18] brothers
[36:19] [Música]
[36:22] porque no abre su biblia en el libro de
[36:26] los 7 wonders
[36:31] m
[36:32] [Música]
[36:35] y a todos los que nos miran a través del
[36:37] internet señor les bendiga
[36:39] what's string linecar bossio y dice de
[36:43] esta manera son de semana en quién
[36:46] tenemos redención por su sangre
[36:50] [Música]
[36:52] vamos a orar señor jesucristo dices
[36:55] señor queremos que tú nos ayuden en esta
[36:58] mañana
[36:59] mónica y yo creo padre mío que tu sangre
[37:02] señor todavía está vigente en idlib the
[37:05] daily journal goldberg studio active yo
[37:10] creo señor que tú todavía nos estás
[37:13] hablando en diversos virus
[37:15] yo creo señor que tú todavía estás con
[37:17] tu pueblo y este tipo te pedimos señor
[37:20] que tú nos ayudes en esta mañana si le
[37:23] damos vocear tu palabra you speak world
[37:26] y que podamos hacernos a un lado mi dios
[37:29] estamos aquí con temor y temblor
[37:32] sampling porque sabemos que esto es algo
[37:35] muy importante es un imberbe algo muy
[37:37] delicado señorita y queremos que tú nos
[37:40] ayudes mucho
[37:42] así que tú hables a nuestros corazones
[37:44] you speak workforce
[37:45] todo esto lo ponemos en tus manos y
[37:47] punto son agentes en el nombre de
[37:49] nuestro señor jesucristo niveles es
[37:52] cristo
[37:52] amén y me pueden tomar su asiento
[37:54] hermanos y me visiten brothers
[37:56] me gustó esta escritura porque tiene que
[38:00] ver con su sangre mano con la sangre de
[38:04] nuestro señor jesucristo
[38:07] él todavía está trabajando con nosotros
[38:09] yo working with el todavía nos está
[38:11] liberando más
[38:13] antes de continuar
[38:17] con nuestro hermano álex
[38:21] como título
[38:25] se le puso y le hemos puesto la
[38:30] liberación de rap
[38:33] yo creo que dios todavía está tratando
[38:36] de liberarnos a nosotros
[38:39] pero vamos a hablar de la liberación de
[38:41] radware nos rige yo creo que que dios va
[38:46] a hacer grandes cosas
[38:47] carbó de ratings yo creo que dios sigue
[38:49] siendo cosas hermanas institute
[38:51] sobrenaturales en nuestra vida una
[38:54] justicia no light también hermanos
[38:58] para continuar chiquitín solamente voy a
[39:01] leer un poquito en el libro de josué o
[39:03] destruir el capítulo 2 versículo 93 nine
[39:07] y dice de esta manera es no sé que
[39:10] jehová os ha dado esta tierra porque el
[39:15] temor de vosotros ha caído sobre
[39:17] nosotros y todos los moradores del país
[39:21] ya han desmayado por causa de vosotros y
[39:24] serán dolores
[39:30] porque hemos oído el 10 porque hemos
[39:33] oído que jehová hizo secar las aguas del
[39:36] mar rojo delante de vosotros cuando
[39:39] saliste de egipto y lo que habéis hecho
[39:42] a los dos reyes de los amorreos que
[39:44] estaban al otro lado del jordán acción y
