################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-04-03 - Guerra Espiritual 3 Enemigos 04-03-20 - Alex Perez.txt
Video ID: Qh4JQNxtvaw
Segments: 1696
URL: https://www.youtube.com/watch?v=Qh4JQNxtvaw
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:04] a
[0:12] ah
[0:19] a
[0:26] [Música]
[0:32] ah
[0:34] ah
[0:40] i
[0:43] a
[0:48] para nada
[0:52] ah
[0:54] [Música]
[1:29] [Aplausos]
[1:31] [Música]
[2:27] [Música]
[2:35] [Música]
[2:41] a
[2:44] i
[3:18] y
[3:33] no
[3:45] [Música]
[4:13] no no
[4:21] e
[4:24] no
[4:25] ah
[4:34] [Música]
[4:46] y
[4:52] [Música]
[5:01] y
[5:29] [Música]
[5:34] i
[5:46] i
[5:57] i
[6:10] 2
[6:13] ah
[6:19] i
[6:22] 2
[6:27] ah
[6:28] ah
[6:33] i
[6:34] [Música]
[6:39] ah
[6:46] sí
[6:47] [Música]
[6:49] no
[6:55] [Música]
[7:25] bueno
[7:35] y nada más
[7:42] [Música]
[7:56] i
[8:06] ah
[8:08] ah
[8:13] ah
[8:19] y
[8:31] i
[8:41] i
[8:48] ah
[8:55] [Música]
[8:58] ah
[9:11] i
[9:16] [Música]
[9:20] i
[9:25] [Música]
[9:37] más
[9:41] [Música]
[9:52] [Música]
[10:02] i
[10:09] ah
[10:10] [Música]
[10:46] i
[10:48] [Música]
[11:05] no
[11:08] [Música]
[11:39] por qué
[11:43] [Música]
[12:07] mira
[12:08] [Música]
[12:21] nunca
[12:26] [Música]
[12:45] e
[12:47] [Música]
[12:49] [Aplausos]
[12:51] [Música]
[13:05] y
[13:08] cómo
[13:18] no
[13:23] cómo
[13:25] [Música]
[13:43] [Música]
[14:03] y
[14:08] y
[14:12] ah
[14:20] ah
[14:23] ah
[14:33] i
[14:40] e
[14:44] ah
[14:50] ah
[14:59] y nada más
[15:13] [Música]
[15:16] ah
[15:19] ah
[15:24] a
[15:26] estás
[15:28] ah
