################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-04-24 - Grito De Guerra Desde Su Corazon Marcial Tapia - Marcial Tapia.txt
Video ID: GIn0b0RfwfU
Segments: 1751
URL: https://www.youtube.com/watch?v=GIn0b0RfwfU
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:14] [Música]
[0:19] y
[0:20] [Música]
[0:44] 2
[0:49] ah
[0:54] [Música]
[1:16] d
[1:20] [Música]
[1:44] gracias
[1:57] y
[2:04] y tal
[2:18] a
[2:25] ah
[2:33] [Música]
[2:40] e
[2:41] [Música]
[3:24] bien
[3:29] [Música]
[3:49] ah
[3:53] a
[4:00] cómo
[4:02] [Música]
[4:17] ah
[4:18] [Música]
[4:30] antes
[4:31] [Música]
[4:46] sí
[4:49] así
[4:52] a
[5:00] ah
[5:01] [Música]
[5:03] ah
[5:03] [Aplausos]
[5:04] [Música]
[5:08] i
[5:14] e
[5:18] [Música]
[5:23] i
[5:25] [Música]
[5:48] no
[5:58] [Música]
[6:06] d
[6:07] [Música]
[6:13] e
[6:15] no no
[6:18] a
[6:20] [Música]
[6:25] a
[6:28] [Música]
[6:50] [Música]
[6:54] ah
[6:57] ah
[6:59] no
[7:07] bueno
[7:13] [Música]
[7:16] ah
[7:20] [Música]
[8:08] ah
[8:12] [Música]
[9:10] [Música]
[9:34] bueno
[9:59] ah
[10:04] ah
[10:29] [Música]
[11:50] ah
[11:56] a
[12:00] [Música]
[12:07] ah
[12:11] [Música]
[12:13] ah
[12:14] ah
[12:25] [Música]
[12:37] bien
[12:46] [Música]
[12:56] e
[13:01] a
[13:03] ah
[13:06] bueno
[13:09] i
[13:10] [Música]
[13:14] ah
[13:17] aquí
[13:29] 2
[13:33] ah
[13:39] ah
[13:47] [Música]
[13:51] sí
[13:54] [Música]
[14:15] a
[14:20] i
[14:25] no
[14:31] ah
[14:34] [Música]
[14:44] ah
[14:46] él
[14:48] o
[14:55] ah
[14:57] y él
[15:08] [Música]
[15:16] ah
[15:20] [Música]
[15:27] o no
[15:30] a
[15:36] [Música]
[15:45] i
[15:50] i
[15:52] i
[16:01] i
[16:06] ah
[16:13] ah
[16:16] a
[16:24] [Música]
[16:28] ah
[16:33] [Música]
[16:39] ah
[16:40] ah
[16:47] nada
[16:48] [Música]
[16:55] bueno
[16:56] sí
[17:01] m
[17:07] i
[17:09] [Música]
[17:21] no no no
[17:25] ah
[17:26] [Música]
[17:31] todo
[17:32] y más
[17:41] ah
[17:46] él
[17:54] [Música]
[18:16] no nunca
[18:20] [Música]
[18:28] bien
[18:40] [Música]
[18:57] ah
[19:01] ah
[19:07] 2
[19:19] i
[19:31] a
[19:37] no no
[19:40] [Música]
[20:43] y
[20:54] i
[21:11] bueno
[21:19] i
[21:22] no no no
[21:29] [Música]
[21:58] sí
[22:09] i
[22:11] ah
[22:16] y bueno
[22:19] [Música]
[22:20] i
[22:24] [Música]
[22:29] bien
[22:36] [Música]
[22:48] ah
[22:51] ah
[23:03] ah
[23:10] ah
[23:18] ah
[23:22] [Música]
[23:38] ah
[23:40] [Música]
[24:09] ahora
[24:13] [Música]
[24:21] ah
[24:23] ah
[24:30] ah
[24:31] [Música]
[24:37] no
[24:42] no
[24:50] ah
[24:53] i
[24:59] o no
[25:14] y
[25:17] bueno
[25:18] [Música]
[25:20] ah
[25:22] bueno
[25:24] y
[25:26] ah
[25:33] [Música]
[25:55] ah
[26:06] sí
[26:12] [Música]
[26:36] ay
[26:46] bueno
[26:52] i
[26:55] [Música]
[26:58] i
[26:59] [Música]
[27:03] e
[27:04] [Música]
[27:16] ah
[27:18] ah
[27:21] ah
[27:25] e
[27:31] no no
[27:33] hola
[27:40] [Música]
[27:43] 2
[27:45] 2
[27:59] ah
[28:05] [Música]
[28:13] ah
[28:19] es
[28:22] y
[28:22] [Música]
[28:27] y
[28:31] i
[28:35] i
[28:40] sí
[28:45] [Música]
[29:06] [Música]
[29:12] sí
[29:25] [Música]
[29:44] a
[30:01] ah
[30:09] [Música]
[30:27] 2
[30:31] [Música]
[30:40] y
[30:44] sí
[30:46] [Música]
[31:17] e
[31:18] [Aplausos]
[31:19] pero
[31:30] [Música]
[31:33] [Aplausos]
[31:36] [Música]
[31:48] [Aplausos]
[31:52] [Música]
[32:33] bien
[32:36] sí
[32:42] [Música]
[33:25] m
[33:27] y hoy
[33:33] bomba
[33:36] bueno
[33:38] me voy
[33:45] eso no ha servido
[33:50] no ha servido como sabe
[33:56] para sanar las heridas le ha servido
[34:03] como salva
[34:06] recorrí otro ciclo de este
[34:13] miles de años
[34:18] conmigo
[34:21] victoria
[34:24] l
[34:26] en saná
[34:30] es sana
[34:35] la servidora pasable
[34:41] cosas
[34:44] la vida rock
[34:47] la servidora américa seis ojos de snake
[34:55] bayardo sn
[35:01] robaina
[35:02] [Música]
[35:04] mucho
[35:06] [Música]
[35:07] d
[35:09] por qué
[35:12] pero más sana
[35:19] servidor ha recibido más abril
[35:26] cosas
[35:29] la servidora recibido
[35:38] no
[35:40] cuando es sabido lo que le ha servido
[35:44] roca salve
[35:48] [Música]
[35:51] este video rock otra vida
[35:59] con estar felices de estar hablando si
[36:02] no señor jesucristo email si se pueden
[36:06] predecir conmigo es el siguiente en
[36:08] amables y cristianos humor
[36:19] by me
[36:21] llena
[36:23] a mi casa
[36:26] quizás dónde
[36:30] agatha
[36:34] a mi casa
[36:37] se imagina al sondeo cuerpo
[36:44] de nuevo de hoy de nuevas leyes o sea
[36:49] que éste no logró with you
[36:52] mira mamá y jugadora está mala
[36:57] mira mamá no está mal a ver más
[37:05] en agua
[37:09] el agua es imaginar dónde
[37:13] hagan más marinero en agua termal y
[37:20] cadagua sin matices porque el pavor
[37:24] porque el power
[37:30] las leyes hacen que no lo debido la mira
[37:36] mamá
[37:38] puedo ver esta palabra
[37:40] en la mira mamá y el doble está mala
